"oid","typ","cid","tna","rnk","tid","oei","oli","eag","lag","rid","lng","lat"
198606,"occ",20491,"Canis latrans",3,44854,"Rancholabrean",NA,0.3,0.012,3580,-82.300003,29.1
198607,"occ",20491,"Canis dirus",3,44837,"Rancholabrean",NA,0.3,0.012,3580,-82.300003,29.1
198649,"occ",20494,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2615,-82.199997,27
198672,"occ",20498,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,3083,-101.300003,34.5
198673,"occ",20498,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,3083,-101.300003,34.5
198674,"occ",20498,"Cuon texanus",3,45384,"Irvingtonian",NA,1.8,0.3,6294,-101.300003,34.5
198688,"occ",20499,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2673,-117.5,43.599998
198698,"occ",20500,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2673,-102.5,42.700001
198699,"occ",20500,"Urocyon",5,41247,"Irvingtonian",NA,1.8,0.3,1916,-102.5,42.700001
198736,"occ",20503,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,2549,-103.099998,43.799999
198740,"occ",20504,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2940,-107,36.5
198751,"occ",20505,"Vulpes vulpes",3,52691,"Irvingtonian",NA,1.8,0.3,2940,-107,36.5
198814,"occ",20514,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2940,-107,36.5
198872,"occ",20520,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,3567,-82.599998,29.700001
198920,"occ",20528,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2887,-117,33.900002
198940,"occ",20530,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1304,-101.900002,33.700001
198941,"occ",20530,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,6202,-101.900002,33.700001
198987,"occ",20536,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2252,-110.199997,32
199068,"occ",20556,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2896,-96,42
199069,"occ",20556,"Canis lupus",3,44860,"Irvingtonian",NA,1.8,0.3,2896,-96,42
199070,"occ",20556,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,2896,-96,42
199085,"occ",20558,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1794,-106.699997,32
199126,"occ",20559,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1022,-105.699997,39.299999
199127,"occ",20559,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
199128,"occ",20559,"Vulpes vulpes",3,52691,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
199129,"occ",20559,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
199163,"occ",20563,"Caninae",8,90655,"Irvingtonian",NA,1.8,0.3,3558,-107.900002,50.700001
199180,"occ",20567,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,3799,-98.199997,39
199204,"occ",20569,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,6225,-112.900002,42.799999
199205,"occ",20569,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,1936,-112.900002,42.799999
199206,"occ",20569,"Vulpes vulpes",3,52691,"Late Pleistocene",NA,0.126,0.0117,6225,-112.900002,42.799999
199271,"occ",20572,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,3567,-82.099998,29.799999
199308,"occ",20573,"Urocyon cinereoargenteus",3,52594,"Late Pleistocene",NA,0.126,0.0117,3580,-82.416664,29.6
199309,"occ",20573,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,3580,-82.416664,29.6
199337,"occ",20580,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,2673,-82.5,27.5
199393,"occ",20590,"Canis lupus",3,44860,"Late Pleistocene",NA,0.126,0.0117,1785,-103.900002,50.799999
199427,"occ",20594,"Urocyon cinereoargenteus",3,52594,"Late Pleistocene",NA,0.126,0.0117,3567,-82.099998,29.799999
199428,"occ",20594,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,3567,-82.099998,29.799999
199486,"occ",20600,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,2727,-86.5,39
199487,"occ",20600,"Canis lupus",3,44860,"Late Pleistocene",NA,0.126,0.0117,3498,-86.5,39
199488,"occ",20600,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,2727,-86.5,39
